time,cwnd
0,1
0.1,1
0.2,2
0.3,3
0.4,4
0.5,5
0.6,6
0.7,7
0.8,8
0.9,9
1,10
1.1,11
1.2,12
1.3,13
1.4,14
1.5,15
1.6,16
1.7,17
1.8,18
1.9,19
2,20
2.1,21
2.2,22
2.3,23
2.4,11.5
2.5,5.75
2.6,6.75
2.7,7.75
2.8,8.75
2.9,9.75
3,10.75
3.1,11.75
3.2,12.75
3.3,13.75
3.4,14.75
3.5,15.75
3.6,16.75
3.7,17.75
3.8,18.75
3.9,19.75
4,20.75
4.1,21.75
4.2,22.75
4.3,23.75
4.4,24.75
4.5,25.75
4.6,26.75
4.7,27.75
4.8,28.75
4.9,29.75
5,30.75
5.1,31.75
5.2,32.75
5.3,33.75
5.4,34.75
5.5,35.75
5.6,36.75
5.7,37.75
5.8,38.75
5.9,39.75
6,40.75
6.1,41.75
6.2,42.75
6.3,43.75
6.4,44.75
6.5,22.375
6.6,23.375
6.7,24.375
6.8,25.375
6.9,26.375
7,27.375
7.1,28.375
7.2,29.375
7.3,30.375
7.4,31.375
7.5,32.375
7.6,33.375
7.7,34.375
7.8,35.375
7.9,36.375
8,37.375
8.1,38.375
8.2,39.375
8.3,40.375
8.4,41.375
8.5,42.375
8.6,43.375
8.7,44.375
8.8,45.375
8.9,46.375
9,47.375
9.1,48.375
9.2,49.375
9.3,50.375
9.4,51.375
9.5,52.375
9.6,53.375
9.7,54.375
9.8,55.375
9.9,56.375
10,57.375
10.1,58.375
10.2,59.375
10.3,60.375
10.4,61.375
10.5,62.375
10.6,63.375
10.7,64.375
10.8,65.375
10.9,66.375
11,67.375
11.1,68.375
11.2,69.375
11.3,70.375
11.4,71.375
11.5,72.375
11.6,73.375
11.7,74.375
11.8,75.375
11.9,76.375
12,77.375
12.1,78.375
12.2,79.375
12.3,80.375
12.4,81.375
12.5,82.375
12.6,83.375
12.7,84.375
12.8,85.375
12.9,86.375
13,87.375
13.1,88.375
13.2,89.375
13.3,90.375
13.4,91.375
13.5,92.375
13.6,93.375
13.7,94.375
13.8,95.375
13.9,96.375
14,97.375
14.1,98.375
14.2,99.375
14.3,100.375
14.4,101.375
14.5,102.375
14.6,103.375
14.7,104.375
14.8,105.375
14.9,106.375
15,107.375
15.1,108.375
15.2,109.375
15.3,110.375
15.4,111.375
15.5,112.375
15.6,113.375
15.7,114.375
15.8,115.375
15.9,116.375
16,117.375
16.1,118.375
16.2,119.375
16.3,120.375
16.4,121.375
16.5,122.375
16.6,123.375
16.7,124.375
16.8,125.375
16.9,126.375
17,127.375
17.1,128.375
17.2,129.375
17.3,130.375
17.4,131.375
17.5,132.375
17.6,133.375
17.7,134.375
17.8,135.375
17.9,136.375
18,137.375
18.1,138.375
18.2,139.375
18.3,69.6875
18.4,70.6875
18.5,71.6875
18.6,72.6875
18.7,73.6875
18.8,74.6875
18.9,75.6875
19,76.6875
19.1,77.6875
19.2,78.6875
19.3,79.6875
19.4,80.6875
19.5,81.6875
19.6,82.6875
19.7,83.6875
19.8,84.6875
19.9,85.6875
