time,cwnd
0,1
0.1,1
0.2,2
0.3,3
0.4,4
0.5,5
0.6,6
0.7,7
0.8,8
0.9,9
1,10
1.1,11
1.2,12
1.3,13
1.4,14
1.5,15
1.6,7.5
1.7,8.5
1.8,9.5
1.9,10.5
2,11.5
2.1,12.5
2.2,13.5
2.3,14.5
2.4,7.25
2.5,3.625
2.6,4.625
2.7,5.625
2.8,6.625
2.9,7.625
3,8.625
3.1,9.625
3.2,10.625
3.3,11.625
3.4,12.625
3.5,13.625
3.6,14.625
3.7,15.625
3.8,16.625
3.9,17.625
4,18.625
4.1,19.625
4.2,20.625
4.3,21.625
4.4,22.625
4.5,23.625
4.6,24.625
4.7,25.625
4.8,26.625
4.9,27.625
5,28.625
5.1,29.625
5.2,30.625
5.3,31.625
5.4,32.625
5.5,33.625
5.6,34.625
5.7,35.625
5.8,36.625
5.9,37.625
6,38.625
6.1,39.625
6.2,40.625
6.3,41.625
6.4,42.625
6.5,21.3125
6.6,22.3125
6.7,23.3125
6.8,24.3125
6.9,25.3125
7,26.3125
7.1,27.3125
7.2,28.3125
7.3,29.3125
7.4,30.3125
7.5,31.3125
7.6,32.3125
7.7,33.3125
7.8,34.3125
7.9,35.3125
8,36.3125
8.1,37.3125
8.2,38.3125
8.3,39.3125
8.4,40.3125
8.5,41.3125
8.6,42.3125
8.7,43.3125
8.8,44.3125
8.9,45.3125
9,46.3125
9.1,47.3125
9.2,48.3125
9.3,49.3125
9.4,50.3125
9.5,51.3125
9.6,52.3125
9.7,53.3125
9.8,54.3125
9.9,55.3125
10,56.3125
10.1,57.3125
10.2,58.3125
10.3,59.3125
10.4,60.3125
10.5,61.3125
10.6,62.3125
10.7,63.3125
10.8,64.3125
10.9,65.3125
11,66.3125
11.1,67.3125
11.2,68.3125
11.3,69.3125
11.4,70.3125
11.5,71.3125
11.6,72.3125
11.7,73.3125
11.8,74.3125
11.9,75.3125
12,76.3125
12.1,77.3125
12.2,78.3125
12.3,79.3125
12.4,80.3125
12.5,81.3125
12.6,82.3125
12.7,83.3125
12.8,84.3125
12.9,85.3125
13,86.3125
13.1,87.3125
13.2,88.3125
13.3,89.3125
13.4,90.3125
13.5,91.3125
13.6,92.3125
13.7,93.3125
13.8,94.3125
13.9,95.3125
14,96.3125
14.1,97.3125
14.2,98.3125
14.3,99.3125
14.4,100.312
14.5,101.312
14.6,102.312
14.7,103.312
14.8,104.312
14.9,105.312
15,106.312
15.1,107.312
15.2,108.312
15.3,109.312
15.4,110.312
15.5,111.312
15.6,112.312
15.7,113.312
15.8,114.312
15.9,115.312
16,116.312
16.1,117.312
16.2,118.312
16.3,119.312
16.4,120.312
16.5,121.312
16.6,122.312
16.7,123.312
16.8,124.312
16.9,125.312
17,126.312
17.1,127.312
17.2,128.312
17.3,129.312
17.4,130.312
17.5,131.312
17.6,132.312
17.7,133.312
17.8,134.312
17.9,135.312
18,136.312
18.1,137.312
18.2,138.312
18.3,69.1562
18.4,70.1562
18.5,71.1562
18.6,72.1562
18.7,73.1562
18.8,74.1562
18.9,75.1562
19,37.5781
19.1,38.5781
19.2,39.5781
19.3,40.5781
19.4,41.5781
19.5,42.5781
19.6,43.5781
19.7,44.5781
19.8,45.5781
19.9,46.5781
